#{"t_start": 1675218992.6977828, "env_id": "CartPole-v1"}
r,l,t
19.0,19,0.946774
10.0,10,0.959106
23.0,23,0.988441
32.0,32,1.025003
10.0,10,1.037345
9.0,9,1.048244
20.0,20,1.071806
29.0,29,1.106449
27.0,27,1.137829
25.0,25,1.169312
12.0,12,1.188252
26.0,26,1.218488
39.0,39,1.264852
28.0,28,1.296056
46.0,46,1.347648
29.0,29,1.382193
37.0,37,1.427013
125.0,125,1.569666
73.0,73,1.653082
29.0,29,1.686996
171.0,171,1.879184
118.0,118,2.014903
135.0,135,2.16475
145.0,145,2.326428
139.0,139,2.482379
500.0,500,3.0394
148.0,148,3.201317
433.0,433,3.686819
500.0,500,4.249894
146.0,146,4.417707
123.0,123,5.207892
193.0,193,5.422687
327.0,327,5.797016
288.0,288,6.112695
113.0,113,6.239233
258.0,258,6.536219
371.0,371,6.954412
108.0,108,7.072739
201.0,201,7.294508
500.0,500,7.864865
366.0,366,8.273035
105.0,105,8.391231
500.0,500,9.952746
483.0,483,10.489896
229.0,229,10.746306
146.0,146,10.908056
198.0,198,11.129963
150.0,150,11.295124
167.0,167,11.478913
165.0,165,11.672876
175.0,175,11.878584
138.0,138,12.035301
130.0,130,12.180139
103.0,103,12.294602
93.0,93,12.401344
113.0,113,12.53118
105.0,105,12.64778
91.0,91,12.751274
69.0,69,12.830521
53.0,53,12.888066
63.0,63,12.959782
67.0,67,13.034371
51.0,51,13.091568
39.0,39,13.135801
76.0,76,13.336606
34.0,34,13.378136
52.0,52,13.442975
44.0,44,13.494559
54.0,54,13.559963
32.0,32,13.598353
19.0,19,13.618243
40.0,40,13.663358
46.0,46,13.716797
59.0,59,13.780872
46.0,46,13.834134
37.0,37,13.874802
64.0,64,13.94973
54.0,54,14.012592
58.0,58,14.076371
62.0,62,14.149614
51.0,51,14.208308
88.0,88,14.306077
221.0,221,14.561863
76.0,76,14.646337
117.0,117,14.776002
152.0,152,14.945929
369.0,369,15.353238
145.0,145,15.514982
161.0,161,15.695981
98.0,98,15.802852
59.0,59,15.869022
50.0,50,15.924128
39.0,39,15.967517
60.0,60,16.038279
64.0,64,16.110456
76.0,76,16.194924
49.0,49,16.250911
89.0,89,16.350336
105.0,105,16.470855
119.0,119,16.609374
133.0,133,16.761401
